X1,X2,Preference,Pair
"[0.0486714933229024 0.0383802720715256 0.61448648591512 0.0868046745783499
 -0.115383623 6.07488825986917 0.0158879404830918 0.0727953928502415
 0.9873 0.9909]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"3.jpg,213.jpg"
"[0.0486714933229024 0.0383802720715256 0.61448648591512 0.0868046745783499
 -0.115383623 6.07488825986917 0.0158879404830918 0.0727953928502415
 0.9873 0.9909]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"3.jpg,127.jpg"
"[1.18626637321303 0.188129235060867 0.46296043158004 0.115611302314373
 0.239382396 6.48918027180629 0.0151337515796698 0.0672558317536636 0.9173
 0.9812]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"4.jpg,116.jpg"
"[1.18626637321303 0.188129235060867 0.46296043158004 0.115611302314373
 0.239382396 6.48918027180629 0.0151337515796698 0.0672558317536636 0.9173
 0.9812]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"4.jpg,16.jpg"
"[1.18626637321303 0.188129235060867 0.46296043158004 0.115611302314373
 0.239382396 6.48918027180629 0.0151337515796698 0.0672558317536636 0.9173
 0.9812]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"4.jpg,213.jpg"
"[1.18626637321303 0.188129235060867 0.46296043158004 0.115611302314373
 0.239382396 6.48918027180629 0.0151337515796698 0.0672558317536636 0.9173
 0.9812]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"4.jpg,127.jpg"
"[0.752671822074318 0.12379452659175 0.457703183091419 0.114988570214393
 0.160377321 6.20929853237757 0.0262875390926852 0.0411843359073148 0.9357
 0.9391]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"5.jpg,116.jpg"
"[0.752671822074318 0.12379452659175 0.457703183091419 0.114988570214393
 0.160377321 6.20929853237757 0.0262875390926852 0.0411843359073148 0.9357
 0.9391]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"5.jpg,16.jpg"
"[0.752671822074318 0.12379452659175 0.457703183091419 0.114988570214393
 0.160377321 6.20929853237757 0.0262875390926852 0.0411843359073148 0.9357
 0.9391]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"5.jpg,213.jpg"
"[0.752671822074318 0.12379452659175 0.457703183091419 0.114988570214393
 0.160377321 6.20929853237757 0.0262875390926852 0.0411843359073148 0.9357
 0.9391]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"5.jpg,127.jpg"
"[0.820040050692775 0.111488747467201 0.59375282299221 0.0719171647602987
 0.191929953 6.04870996192957 0.0480620129477358 0.0465077787189309 0.9823
 0.9901]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"6.jpg,116.jpg"
"[0.820040050692775 0.111488747467201 0.59375282299221 0.0719171647602987
 0.191929953 6.04870996192957 0.0480620129477358 0.0465077787189309 0.9823
 0.9901]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"6.jpg,16.jpg"
"[0.820040050692775 0.111488747467201 0.59375282299221 0.0719171647602987
 0.191929953 6.04870996192957 0.0480620129477358 0.0465077787189309 0.9823
 0.9901]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"6.jpg,213.jpg"
"[0.820040050692775 0.111488747467201 0.59375282299221 0.0719171647602987
 0.191929953 6.04870996192957 0.0480620129477358 0.0465077787189309 0.9823
 0.9901]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"6.jpg,127.jpg"
"[1.36149552183444 0.103577775509942 0.47243414071511 0.12409589317362
 0.481583355 6.29373911845037 0.0180830655992515 0.0500481844007485 0.9471
 0.9905]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"7.jpg,116.jpg"
"[1.36149552183444 0.103577775509942 0.47243414071511 0.12409589317362
 0.481583355 6.29373911845037 0.0180830655992515 0.0500481844007485 0.9471
 0.9905]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"7.jpg,16.jpg"
"[1.36149552183444 0.103577775509942 0.47243414071511 0.12409589317362
 0.481583355 6.29373911845037 0.0180830655992515 0.0500481844007485 0.9471
 0.9905]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"7.jpg,213.jpg"
"[1.36149552183444 0.103577775509942 0.47243414071511 0.12409589317362
 0.481583355 6.29373911845037 0.0180830655992515 0.0500481844007485 0.9471
 0.9905]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"7.jpg,127.jpg"
"[0.0 0.0 0.327693708083756 0.234723368234031 0.542056257 7.55901544273904
 0.023278574557493 0.110058925442507 0.6797 0.7044]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"8.jpg,116.jpg"
"[0.0 0.0 0.327693708083756 0.234723368234031 0.542056257 7.55901544273904
 0.023278574557493 0.110058925442507 0.6797 0.7044]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"8.jpg,16.jpg"
"[0.0 0.0 0.327693708083756 0.234723368234031 0.542056257 7.55901544273904
 0.023278574557493 0.110058925442507 0.6797 0.7044]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"8.jpg,213.jpg"
"[0.0 0.0 0.327693708083756 0.234723368234031 0.542056257 7.55901544273904
 0.023278574557493 0.110058925442507 0.6797 0.7044]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"8.jpg,127.jpg"
"[1.02285086531619 0.0891065289012681 0.292753011204482 0.0971909059152898
 0.744635796 6.56148168275093 0.0121162555749587 0.153897286091708 0.9109
 0.8898]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"9.jpg,116.jpg"
"[1.02285086531619 0.0891065289012681 0.292753011204482 0.0971909059152898
 0.744635796 6.56148168275093 0.0121162555749587 0.153897286091708 0.9109
 0.8898]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"9.jpg,16.jpg"
"[1.02285086531619 0.0891065289012681 0.292753011204482 0.0971909059152898
 0.744635796 6.56148168275093 0.0121162555749587 0.153897286091708 0.9109
 0.8898]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"9.jpg,213.jpg"
"[1.02285086531619 0.0891065289012681 0.292753011204482 0.0971909059152898
 0.744635796 6.56148168275093 0.0121162555749587 0.153897286091708 0.9109
 0.8898]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"9.jpg,127.jpg"
"[0.704925825203031 0.193863162659762 0.248201827094475 0.162945932200065
 -0.634131319 6.85087662923942 0.0335855158791586 0.114322817454175 0.7303
 0.7966]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"10.jpg,116.jpg"
"[0.704925825203031 0.193863162659762 0.248201827094475 0.162945932200065
 -0.634131319 6.85087662923942 0.0335855158791586 0.114322817454175 0.7303
 0.7966]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"10.jpg,16.jpg"
"[0.704925825203031 0.193863162659762 0.248201827094475 0.162945932200065
 -0.634131319 6.85087662923942 0.0335855158791586 0.114322817454175 0.7303
 0.7966]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"10.jpg,213.jpg"
"[0.704925825203031 0.193863162659762 0.248201827094475 0.162945932200065
 -0.634131319 6.85087662923942 0.0335855158791586 0.114322817454175 0.7303
 0.7966]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"10.jpg,127.jpg"
"[1.10984830838834 0.150781018398001 0.217549666020255 0.172926018147153
 0.592902712 6.44186087620929 0.0122408169785486 0.129812308021451 0.6751
 0.7976]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"11.jpg,116.jpg"
"[1.10984830838834 0.150781018398001 0.217549666020255 0.172926018147153
 0.592902712 6.44186087620929 0.0122408169785486 0.129812308021451 0.6751
 0.7976]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"11.jpg,16.jpg"
"[1.10984830838834 0.150781018398001 0.217549666020255 0.172926018147153
 0.592902712 6.44186087620929 0.0122408169785486 0.129812308021451 0.6751
 0.7976]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"11.jpg,213.jpg"
"[1.10984830838834 0.150781018398001 0.217549666020255 0.172926018147153
 0.592902712 6.44186087620929 0.0122408169785486 0.129812308021451 0.6751
 0.7976]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"11.jpg,127.jpg"
"[1.76623369903871 0.102542515109215 0.3923063154096 0.168916142337691
 0.428933267 7.03513603347129 0.0156691836635704 0.11250581633643 0.8941
 0.9296]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"12.jpg,116.jpg"
"[1.76623369903871 0.102542515109215 0.3923063154096 0.168916142337691
 0.428933267 7.03513603347129 0.0156691836635704 0.11250581633643 0.8941
 0.9296]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"12.jpg,16.jpg"
"[1.76623369903871 0.102542515109215 0.3923063154096 0.168916142337691
 0.428933267 7.03513603347129 0.0156691836635704 0.11250581633643 0.8941
 0.9296]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"12.jpg,213.jpg"
"[1.76623369903871 0.102542515109215 0.3923063154096 0.168916142337691
 0.428933267 7.03513603347129 0.0156691836635704 0.11250581633643 0.8941
 0.9296]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"12.jpg,127.jpg"
"[1.55954155166324 0.134881071750696 0.367916223826346 0.227360513065439
 0.280688721 6.98423994199094 0.0170863795634062 0.10185528710326 0.6858
 0.9003]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"13.jpg,116.jpg"
"[1.55954155166324 0.134881071750696 0.367916223826346 0.227360513065439
 0.280688721 6.98423994199094 0.0170863795634062 0.10185528710326 0.6858
 0.9003]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"13.jpg,16.jpg"
"[1.55954155166324 0.134881071750696 0.367916223826346 0.227360513065439
 0.280688721 6.98423994199094 0.0170863795634062 0.10185528710326 0.6858
 0.9003]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"13.jpg,213.jpg"
"[1.55954155166324 0.134881071750696 0.367916223826346 0.227360513065439
 0.280688721 6.98423994199094 0.0170863795634062 0.10185528710326 0.6858
 0.9003]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"13.jpg,127.jpg"
"[1.02602565131907 0.213513816664122 0.383776687358361 0.247925093316737
 -0.324962727 7.63062402136323 0.0735497773228773 0.0624783476771227 0.681
 0.7151]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"14.jpg,116.jpg"
"[1.02602565131907 0.213513816664122 0.383776687358361 0.247925093316737
 -0.324962727 7.63062402136323 0.0735497773228773 0.0624783476771227 0.681
 0.7151]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",1.0,"14.jpg,16.jpg"
"[1.02602565131907 0.213513816664122 0.383776687358361 0.247925093316737
 -0.324962727 7.63062402136323 0.0735497773228773 0.0624783476771227 0.681
 0.7151]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"14.jpg,213.jpg"
"[1.02602565131907 0.213513816664122 0.383776687358361 0.247925093316737
 -0.324962727 7.63062402136323 0.0735497773228773 0.0624783476771227 0.681
 0.7151]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"14.jpg,127.jpg"
"[1.34861188993959 0.192530427696228 0.622053189091728 0.184682110250257
 0.367541635 7.5736583687598 0.0469648960844908 0.0895632289155092 0.874
 0.8827]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"15.jpg,116.jpg"
"[1.34861188993959 0.192530427696228 0.622053189091728 0.184682110250257
 0.367541635 7.5736583687598 0.0469648960844908 0.0895632289155092 0.874
 0.8827]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"15.jpg,16.jpg"
"[1.34861188993959 0.192530427696228 0.622053189091728 0.184682110250257
 0.367541635 7.5736583687598 0.0469648960844908 0.0895632289155092 0.874
 0.8827]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"15.jpg,213.jpg"
"[1.34861188993959 0.192530427696228 0.622053189091728 0.184682110250257
 0.367541635 7.5736583687598 0.0469648960844908 0.0895632289155092 0.874
 0.8827]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"15.jpg,127.jpg"
"[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"16.jpg,116.jpg"
"[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"16.jpg,16.jpg"
"[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"16.jpg,213.jpg"
"[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"16.jpg,127.jpg"
"[1.53548301362348 0.201085101001409 0.497701345246959 0.202926507768475
 -0.033910712 7.52861429488794 0.0469114964639904 0.101530170202676 0.8217
 0.8958]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"17.jpg,116.jpg"
"[1.53548301362348 0.201085101001409 0.497701345246959 0.202926507768475
 -0.033910712 7.52861429488794 0.0469114964639904 0.101530170202676 0.8217
 0.8958]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"17.jpg,16.jpg"
"[1.53548301362348 0.201085101001409 0.497701345246959 0.202926507768475
 -0.033910712 7.52861429488794 0.0469114964639904 0.101530170202676 0.8217
 0.8958]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"17.jpg,213.jpg"
"[1.53548301362348 0.201085101001409 0.497701345246959 0.202926507768475
 -0.033910712 7.52861429488794 0.0469114964639904 0.101530170202676 0.8217
 0.8958]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"17.jpg,127.jpg"
"[0.87490123211159 0.220776381020616 0.434611520244462 0.238841869180304
 1.232369957 7.63162345577057 0.0420004850742002 0.101404723259133 0.7896
 0.7841]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"18.jpg,116.jpg"
"[0.87490123211159 0.220776381020616 0.434611520244462 0.238841869180304
 1.232369957 7.63162345577057 0.0420004850742002 0.101404723259133 0.7896
 0.7841]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"18.jpg,16.jpg"
"[0.87490123211159 0.220776381020616 0.434611520244462 0.238841869180304
 1.232369957 7.63162345577057 0.0420004850742002 0.101404723259133 0.7896
 0.7841]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"18.jpg,213.jpg"
"[0.87490123211159 0.220776381020616 0.434611520244462 0.238841869180304
 1.232369957 7.63162345577057 0.0420004850742002 0.101404723259133 0.7896
 0.7841]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"18.jpg,127.jpg"
"[1.65704475351535 0.211846405680137 0.519188059392622 0.191289906871707
 -0.199675622 7.5008134248495 0.0307051421976283 0.111870899469038 0.8629
 0.8775]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"19.jpg,116.jpg"
"[1.65704475351535 0.211846405680137 0.519188059392622 0.191289906871707
 -0.199675622 7.5008134248495 0.0307051421976283 0.111870899469038 0.8629
 0.8775]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"19.jpg,16.jpg"
"[1.65704475351535 0.211846405680137 0.519188059392622 0.191289906871707
 -0.199675622 7.5008134248495 0.0307051421976283 0.111870899469038 0.8629
 0.8775]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"19.jpg,213.jpg"
"[1.65704475351535 0.211846405680137 0.519188059392622 0.191289906871707
 -0.199675622 7.5008134248495 0.0307051421976283 0.111870899469038 0.8629
 0.8775]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"19.jpg,127.jpg"
"[1.12010708817539 0.149248233586467 0.415790313216196 0.185526518188259
 0.088797621 7.29978085201519 0.016345655307685 0.132211636358982 0.8458
 0.8534]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"20.jpg,116.jpg"
"[1.12010708817539 0.149248233586467 0.415790313216196 0.185526518188259
 0.088797621 7.29978085201519 0.016345655307685 0.132211636358982 0.8458
 0.8534]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",1.0,"20.jpg,16.jpg"
"[1.12010708817539 0.149248233586467 0.415790313216196 0.185526518188259
 0.088797621 7.29978085201519 0.016345655307685 0.132211636358982 0.8458
 0.8534]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"20.jpg,213.jpg"
